dataset_key,license_code,n_observations,dataset_title,doi,gbif_url
9fd6c3da-88f7-4df7-9a3f-3f3f9c703998,CC_BY_4_0,673,Suivi de l'expansion du Frelon asiatique (Vespa velutina) : données Frelon,10.15468/dlwzgo,https://www.gbif.org/dataset/9fd6c3da-88f7-4df7-9a3f-3f3f9c703998
4145cd45-8a92-426d-be8b-bfbbf5209032,CC_BY_NC_4_0,296,Suivi de l'expansion du Frelon asiatique (Vespa velutina) : données Frelon,10.15468/3qdlxm,https://www.gbif.org/dataset/4145cd45-8a92-426d-be8b-bfbbf5209032
50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,222,iNaturalist Research-grade Observations,10.15468/ab3s5x,https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7
8a863029-f435-446a-821e-275f4f641165,CC_BY_NC_4_0,95,"Observation.org, Nature data from around the World",10.15468/5nilie,https://www.gbif.org/dataset/8a863029-f435-446a-821e-275f4f641165
a1077e55-120b-4c31-9a6b-ca7c210f5b04,CC_BY_4_0,44,Suivi de l'expansion du Frelon asiatique (Vespa velutina) : données exclues de l'inventaire Frelon,10.15468/z9hnhp,https://www.gbif.org/dataset/a1077e55-120b-4c31-9a6b-ca7c210f5b04
b127e9e0-dadc-4db3-93f1-a49b6069d696,CC_BY_4_0,41,Données de la quête INPN Espèces : Suivi de l'invasion du Frelon asiatique.,10.15468/eqhuvn,https://www.gbif.org/dataset/b127e9e0-dadc-4db3-93f1-a49b6069d696
50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_4_0,31,iNaturalist Research-grade Observations,10.15468/ab3s5x,https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7
0797c245-3f7f-42db-b822-550a36b2a922,CC_BY_4_0,26,Suivi Photographique des Insectes Pollinisateurs (SPIPOLL),10.15468/ux80es,https://www.gbif.org/dataset/0797c245-3f7f-42db-b822-550a36b2a922
f95e9a6b-65d1-4bd0-a72c-4009c0269e12,CC_BY_4_0,17,Les os de seiches sur les plages de métropole - Données de la quête INPN Espèces : Suivi de l'invasion du Frelon asiatique.,10.15468/eqjdrd,https://www.gbif.org/dataset/f95e9a6b-65d1-4bd0-a72c-4009c0269e12
403cea9f-80d5-48f4-ae41-97cc9a157a62,CC_BY_4_0,12,Programme de rééquilibrage du lit de la Loire entre Les Ponts de Cé et Nantes - Données naturalistes brutes - Programme de rééquilibrage du lit de la Loire,10.15468/vqzepj,https://www.gbif.org/dataset/403cea9f-80d5-48f4-ae41-97cc9a157a62
7247dc2e-b862-4555-b533-7701d183271b,CC_BY_4_0,11,"Programme d'observation naturaliste participative avec l'application mobile INPN Espèces - Application INPN Espèces: Observations naturalistes, participatives et opportunistes, fondées sur des photographies",10.15468/2wgzwe,https://www.gbif.org/dataset/7247dc2e-b862-4555-b533-7701d183271b
c3251ba1-fd81-419e-99da-21673a0862ff,CC_BY_4_0,11,"Atlas de la biodiversité communale d’Erdre-en-Anjou-Inventaires faunistiques et floristiques de l'Atlas de Biodiversité Communale
d'Erdre-en-Anjou",10.15468/d7sf5e,https://www.gbif.org/dataset/c3251ba1-fd81-419e-99da-21673a0862ff
50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC0_1_0,10,iNaturalist Research-grade Observations,10.15468/ab3s5x,https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7
54facf62-bf0c-43e7-9972-4fdc407fa6c5,CC_BY_4_0,7,"Déterminations et observations du Forum ""Le Monde des Insectes"" (LMDI)-Données photographiques validées de la galerie du forum ""Le Monde des Insectes""",10.15468/2vjhg8,https://www.gbif.org/dataset/54facf62-bf0c-43e7-9972-4fdc407fa6c5
4f0a9cb0-0079-4b22-b1fe-359b7e71a36a,CC_BY_4_0,5,CardObs : Observations naturalistes issues de l'outil CardObs-Données naturalistes de SWIFT Olivier,10.15468/wsyd2b,https://www.gbif.org/dataset/4f0a9cb0-0079-4b22-b1fe-359b7e71a36a
f946666e-67dc-4848-9fa8-2162f3559e33,CC_BY_4_0,4,Données d'occurrences Espèces issues de l'inventaire des ZNIEFF,10.15468/ikshke,https://www.gbif.org/dataset/f946666e-67dc-4848-9fa8-2162f3559e33
5686f1a4-0da5-4264-be76-8a0ac1e7d6fa,CC_BY_4_0,3,Données LPO Réserves Naturelles Nationales - Données LPO Réserve naturelle nationale Marais de Müllembourg,10.15468/mnbeqr,https://www.gbif.org/dataset/5686f1a4-0da5-4264-be76-8a0ac1e7d6fa
49c8dd63-bc43-411e-9da6-ee5a197ac2cd,CC_BY_4_0,2,CardObs : Observations naturalistes issues de l'outil CardObs-Données naturalistes de BARRIER Yannick,10.15468/z9qfkv,https://www.gbif.org/dataset/49c8dd63-bc43-411e-9da6-ee5a197ac2cd
c17a5c51-dc4b-4ba7-b249-3c58e9e5df8e,CC_BY_4_0,2,CardObs : Observations naturalistes issues de l'outil CardObs-Données naturalistes de Willy CHENEAU,10.15468/ix9diq,https://www.gbif.org/dataset/c17a5c51-dc4b-4ba7-b249-3c58e9e5df8e
0c7bfc03-a631-46b1-a451-26c8e01bbf66,CC_BY_4_0,1,CardObs : Observations naturalistes issues de l'outil CardObs-Données naturalistes de DUSOULIER François,10.15468/vfew3b,https://www.gbif.org/dataset/0c7bfc03-a631-46b1-a451-26c8e01bbf66
017f23ba-bf04-4eb7-a076-04ab2e5de250,CC_BY_4_0,1,ONF - Observations et inventaires MOA ONF-ONF - Observations opportunistes et inventaires,10.15468/tgap4x,https://www.gbif.org/dataset/017f23ba-bf04-4eb7-a076-04ab2e5de250
16b55843-268d-4a50-a63a-c9d70dfadccc,CC_BY_4_0,1,49 - Parc éolien Tillières (Sèvremoine) - 49 - Tillières - Prospections opportunistes,10.15468/sqgffj,https://www.gbif.org/dataset/16b55843-268d-4a50-a63a-c9d70dfadccc
11bde9b5-18e4-4c25-9f94-7aeaaf171340,CC_BY_4_0,1,Projet d'aménagement de la ZAC de la Baratonnière à Avrillé,10.15468/7kebae,https://www.gbif.org/dataset/11bde9b5-18e4-4c25-9f94-7aeaaf171340
6ac3f774-d9fb-4796-b3e9-92bf6c81c084,CC_BY_4_0,1,NABU|naturgucker,10.15468/uc1apo,https://www.gbif.org/dataset/6ac3f774-d9fb-4796-b3e9-92bf6c81c084
